length,width
60,7.5
52.5,7.5
45,6
52.5,6
55.5,6
60,7.5
60,6
61.5,7.5
55.5,6
45,6
52.5,6
63,7.5
51,7.5
60,7.5
63,7.5
52.5,7.5
64.5,7.5
66,6
49.5,7.5
51,7.5
